HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Simple Assault,Open,2024-10-21,Providence
Simple Assault,Open,2019-07-29,Steele Creek
Intimidation,Open,2021-12-01,Westover
Intimidation,Open,2019-05-05,University City
Simple Assault,Exceptionally Cleared,2019-07-12,University City
Simple Assault,Exceptionally Cleared,2019-01-04,Steele Creek
Simple Assault,Open,2019-02-26,Westover
Simple Assault,Exceptionally Cleared,2024-05-01,Eastway
Simple Assault,Open,2019-05-03,Steele Creek
Simple Assault,Open,2021-09-27,Westover
Simple Assault,Cleared by Arrest,2017-05-11,North
Intimidation,Exceptionally Cleared,2019-01-03,Metro
Simple Assault,Cleared by Arrest,2017-02-26,Eastway
Simple Assault,Exceptionally Cleared,2024-01-02,Steele Creek
Simple Assault,Cleared by Arrest,2019-05-18,Independence
Intimidation,Cleared by Arrest,2021-01-02,Providence
Simple Assault,Cleared by Arrest,2019-06-08,Metro
Intimidation,Open,2020-05-27,Westover
Simple Assault,Exceptionally Cleared,2017-01-01,Central
Simple Assault,Cleared by Arrest,2020-09-26,Steele Creek
Simple Assault,Open,2022-07-24,North
Simple Assault,Cleared by Arrest by Another Agency,2022-09-29,Providence
Simple Assault,Open,2017-05-15,University City
Intimidation,Exceptionally Cleared,2020-01-24,University City
Simple Assault,Cleared by Arrest,2017-04-03,North Tryon
Intimidation,Open,2021-04-26,North
Simple Assault,Cleared by Arrest,2017-01-11,University City
Intimidation,Exceptionally Cleared,2023-10-03,University City
Simple Assault,Cleared by Arrest,2022-07-07,Metro
Simple Assault,Open,2021-10-07,Metro
Simple Assault,Open,2023-09-25,North Tryon
Intimidation,Open,2019-07-08,Steele Creek
Simple Assault,Cleared by Arrest,2017-08-17,Hickory Grove
Intimidation,Open,2022-08-10,Metro
Simple Assault,Open,2019-04-30,North
Intimidation,Open,2021-10-25,South
Simple Assault,Cleared by Arrest,2017-01-28,Westover
Simple Assault,Cleared by Arrest,2023-08-01,Westover
Intimidation,Cleared by Arrest,2022-07-02,Westover
Simple Assault,Cleared by Arrest,2020-11-06,North
Simple Assault,Cleared by Arrest,2022-03-10,Independence
Simple Assault,Open,2024-05-08,Eastway
Simple Assault,Cleared by Arrest,2018-01-23,Hickory Grove
Simple Assault,Unfounded,2022-07-03,University City
Intimidation,Unfounded,2020-12-28,North
Simple Assault,Open,2021-12-12,Steele Creek
Intimidation,Exceptionally Cleared,2022-01-07,North Tryon
Simple Assault,Open,2022-05-21,Providence
Simple Assault,Cleared by Arrest,2024-02-14,Westover
Simple Assault,Cleared by Arrest,2022-05-31,North Tryon
Simple Assault,Cleared by Arrest,2019-06-03,Independence
Intimidation,Open,2020-01-23,Westover
Simple Assault,Open,2019-02-19,Eastway
Intimidation,Exceptionally Cleared,2017-03-03,North
Simple Assault,Cleared by Arrest,2021-03-08,University City
Simple Assault,Cleared by Arrest,2020-11-08,Hickory Grove
Simple Assault,Open,2023-04-21,North Tryon
Simple Assault,Open,2019-11-09,Hickory Grove
Intimidation,Open,2024-04-21,Airport
Simple Assault,Open,2023-09-10,North
Intimidation,Cleared by Arrest,2024-09-14,Providence
Intimidation,Open,2023-01-16,North
Simple Assault,Open,2022-11-11,University City
Simple Assault,Cleared by Arrest,2019-01-05,University City
Simple Assault,Open,2024-11-12,South
Simple Assault,Open,2022-09-09,Metro
Simple Assault,Unfounded,2024-01-12,North
Simple Assault,Open,2023-09-18,Steele Creek
Simple Assault,Exceptionally Cleared,2023-10-19,Independence
Intimidation,Exceptionally Cleared,2017-03-15,North Tryon
Simple Assault,Cleared by Arrest,2021-08-04,Hickory Grove
Simple Assault,Cleared by Arrest,2024-07-25,North Tryon
Intimidation,Open,2023-08-08,Hickory Grove
Simple Assault,Cleared by Arrest,2020-10-17,Central
Simple Assault,Open,2023-10-25,Steele Creek
Simple Assault,Cleared by Arrest,2021-05-01,North
Intimidation,Open,2017-11-01,North
Simple Assault,Open,2017-05-19,Metro
Intimidation,Open,2023-07-20,University City
Simple Assault,Cleared by Arrest,2024-06-07,Freedom
Simple Assault,Open,2018-10-30,Central
Simple Assault,Open,2021-10-11,Freedom
Simple Assault,Exceptionally Cleared,2022-05-21,Freedom
Intimidation,Open,2019-08-23,Providence
Simple Assault,Open,2022-12-16,North Tryon
Intimidation,Open,2024-04-12,Metro
Intimidation,Open,2017-11-15,University City
Simple Assault,Open,2019-06-16,Metro
Simple Assault,Open,2017-03-28,Freedom
Simple Assault,Cleared by Arrest,2017-05-09,North
Intimidation,Open,2024-06-17,Metro
Simple Assault,Exceptionally Cleared,2021-03-22,Steele Creek
Intimidation,Exceptionally Cleared,2021-06-17,Westover
Simple Assault,Cleared by Arrest,2021-05-08,Providence
Simple Assault,Open,2020-01-10,University City
Intimidation,Exceptionally Cleared,2023-12-24,North
Simple Assault,Exceptionally Cleared,2024-02-18,Steele Creek
Simple Assault,Exceptionally Cleared,2023-08-31,Eastway
Simple Assault,Exceptionally Cleared,2022-12-09,Eastway
Simple Assault,Exceptionally Cleared,2018-04-25,Independence
Simple Assault,Cleared by Arrest,2024-06-28,Steele Creek
Simple Assault,Exceptionally Cleared,2020-11-27,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-06-01,Eastway
Intimidation,Cleared by Arrest,2020-11-20,Independence
Simple Assault,Open,2019-07-29,Metro
Intimidation,Open,2018-01-02,Freedom
Simple Assault,Cleared by Arrest,2022-10-25,Steele Creek
Intimidation,Exceptionally Cleared,2019-07-29,Metro
Simple Assault,Exceptionally Cleared,2018-11-15,University City
Simple Assault,Open,2017-10-09,Freedom
Simple Assault,Cleared by Arrest,2018-09-13,Eastway
Intimidation,Open,2022-02-10,University City
Simple Assault,Exceptionally Cleared,2020-05-10,Hickory Grove
Intimidation,Open,2024-02-04,North Tryon
Simple Assault,Cleared by Arrest,2019-08-18,Westover
Intimidation,Exceptionally Cleared,2019-03-17,University City
Simple Assault,Open,2022-01-22,Freedom
Simple Assault,Open,2023-08-28,Hickory Grove
Simple Assault,Open,2017-08-30,South
Simple Assault,Cleared by Arrest by Another Agency,2018-07-29,North
Simple Assault,Exceptionally Cleared,2020-10-21,North Tryon
Simple Assault,Open,2021-11-01,Metro
Intimidation,Exceptionally Cleared,2023-07-14,Westover
Simple Assault,Exceptionally Cleared,2023-09-26,North Tryon
Simple Assault,Open,2018-12-16,South
Simple Assault,Exceptionally Cleared,2018-11-08,Independence
Simple Assault,Open,2021-10-03,Hickory Grove
Simple Assault,Cleared by Arrest,2018-04-15,Steele Creek
Intimidation,Exceptionally Cleared,2021-01-29,North
Simple Assault,Open,2022-06-13,Steele Creek
Simple Assault,Open,2024-10-18,Central
Simple Assault,Cleared by Arrest,2024-10-01,Central
Intimidation,Open,2018-12-27,North
Intimidation,Exceptionally Cleared,2019-11-23,Independence
Simple Assault,Cleared by Arrest,2023-11-07,Steele Creek
Intimidation,Cleared by Arrest by Another Agency,2018-02-10,Metro
Simple Assault,Cleared by Arrest,2022-06-28,South
Simple Assault,Open,2022-08-22,Freedom
Intimidation,Cleared by Arrest,2020-02-23,Steele Creek
Simple Assault,Open,2022-05-10,Hickory Grove
Simple Assault,Cleared by Arrest,2018-02-25,Hickory Grove
Intimidation,Cleared by Arrest,2020-01-30,University City
Simple Assault,Cleared by Arrest,2018-10-25,North
Simple Assault,Exceptionally Cleared,2020-07-15,North
Simple Assault,Open,2019-05-25,Eastway
Intimidation,Cleared by Arrest,2018-07-28,Central
Intimidation,Open,2017-03-15,Metro
Intimidation,Exceptionally Cleared,2021-06-11,University City
Simple Assault,Open,2021-06-23,South
Simple Assault,Cleared by Arrest,2022-01-28,Freedom
Simple Assault,Cleared by Arrest,2017-03-13,Independence
Simple Assault,Cleared by Arrest,2024-08-26,Freedom
Simple Assault,Open,2024-07-14,South
Intimidation,Open,2023-03-11,Hickory Grove
Simple Assault,Open,2018-03-27,North Tryon
Simple Assault,Open,2021-11-16,North Tryon
Simple Assault,Cleared by Arrest,2018-11-01,North
Intimidation,Exceptionally Cleared,2022-06-08,Hickory Grove
Simple Assault,Exceptionally Cleared,2017-01-01,Eastway
Simple Assault,Cleared by Arrest,2023-06-28,Steele Creek
Simple Assault,Cleared by Arrest,2017-06-17,North
Intimidation,Cleared by Arrest,2023-12-08,Freedom
Intimidation,Open,2024-03-05,Eastway
Intimidation,Open,2021-04-19,Independence
Simple Assault,Exceptionally Cleared,2017-03-02,Westover
Simple Assault,Open,2021-05-07,North
Simple Assault,Open,2023-04-05,Westover
Simple Assault,Cleared by Arrest,2017-11-08,North
Simple Assault,Exceptionally Cleared,2019-03-10,Central
Simple Assault,Open,2018-02-19,South
Simple Assault,Exceptionally Cleared,2024-11-09,Independence
Simple Assault,Open,2024-03-27,Hickory Grove
Simple Assault,Exceptionally Cleared,2017-09-07,North Tryon
Simple Assault,Exceptionally Cleared,2021-05-05,Independence
Simple Assault,Cleared by Arrest,2023-04-16,University City
Intimidation,Open,2023-08-18,Providence
Intimidation,Exceptionally Cleared,2024-04-26,North
Intimidation,Open,2020-08-25,Freedom
Simple Assault,Open,2022-12-26,Eastway
Intimidation,Exceptionally Cleared,2017-12-27,University City
Simple Assault,Cleared by Arrest,2019-05-03,North
Intimidation,Cleared by Arrest,2019-11-12,Westover
Simple Assault,Exceptionally Cleared,2019-05-10,North Tryon
Simple Assault,Open,2020-11-02,Providence
Simple Assault,Exceptionally Cleared,2019-10-10,North
Simple Assault,Open,2024-01-24,Freedom
Simple Assault,Open,2023-11-12,Steele Creek
Simple Assault,Open,2020-09-05,South
Simple Assault,Exceptionally Cleared,2018-01-22,North
Intimidation,Exceptionally Cleared,2021-05-14,Freedom
Simple Assault,Exceptionally Cleared,2021-12-20,University City
Intimidation,Exceptionally Cleared,2024-04-13,Metro
Simple Assault,Open,2019-12-24,Westover
Simple Assault,Cleared by Arrest,2024-04-29,Eastway
Simple Assault,Open,2020-02-26,Steele Creek
Simple Assault,Open,2023-04-09,Central
Intimidation,Exceptionally Cleared,2019-08-09,Steele Creek
Intimidation,Exceptionally Cleared,2020-05-14,Westover
Simple Assault,Exceptionally Cleared,2023-11-18,University City
Intimidation,Open,2022-11-03,Providence
Simple Assault,Exceptionally Cleared,2019-01-09,Metro
Simple Assault,Unfounded,2020-07-08,Hickory Grove
Simple Assault,Open,2022-03-17,Providence
Simple Assault,Cleared by Arrest,2022-10-13,Eastway
Simple Assault,Cleared by Arrest,2017-06-22,South
Intimidation,Cleared by Arrest,2020-11-24,Freedom
Simple Assault,Cleared by Arrest,2024-09-04,Steele Creek
Simple Assault,Exceptionally Cleared,2018-10-18,Providence
Simple Assault,Open,2023-12-11,Metro
Simple Assault,Open,2018-11-03,Freedom
Simple Assault,Exceptionally Cleared,2020-07-17,Steele Creek
Simple Assault,Open,2021-11-18,North Tryon
Simple Assault,Exceptionally Cleared,2022-01-20,Steele Creek
Intimidation,Exceptionally Cleared,2020-02-03,North Tryon
Simple Assault,Open,2018-02-16,North Tryon
Simple Assault,Exceptionally Cleared,2020-09-13,Central
Simple Assault,Cleared by Arrest,2020-10-27,Eastway
Simple Assault,Cleared by Arrest,2018-11-15,North Tryon
Intimidation,Open,2024-01-17,University City
Simple Assault,Cleared by Arrest,2020-09-05,University City
Simple Assault,Cleared by Arrest,2018-02-23,Hickory Grove
Simple Assault,Exceptionally Cleared,2019-01-02,North
Simple Assault,Cleared by Arrest,2020-10-29,Eastway
Simple Assault,Open,2023-06-30,Steele Creek
Simple Assault,Cleared by Arrest,2019-08-25,Freedom
Intimidation,Open,2019-07-02,University City
Simple Assault,Cleared by Arrest by Another Agency,2019-03-02,North
Simple Assault,Cleared by Arrest,2021-10-06,University City
Simple Assault,Exceptionally Cleared,2020-03-04,Hickory Grove
Simple Assault,Exceptionally Cleared,2022-11-22,Steele Creek
Simple Assault,Exceptionally Cleared,2022-01-24,South
Simple Assault,Cleared by Arrest,2021-11-30,Steele Creek
Simple Assault,Exceptionally Cleared,2017-06-09,North Tryon
Intimidation,Exceptionally Cleared,2023-08-17,North
Simple Assault,Cleared by Arrest,2017-04-01,North Tryon
Simple Assault,Exceptionally Cleared,2023-07-23,North
Simple Assault,Cleared by Arrest,2021-04-09,North Tryon
Intimidation,Open,2020-06-18,Metro
Intimidation,Open,2019-03-19,Central
Simple Assault,Open,2024-09-09,University City
Simple Assault,Exceptionally Cleared,2019-11-02,University City
Simple Assault,Cleared by Arrest,2021-10-21,Eastway
Intimidation,Open,2018-04-25,North
Simple Assault,Cleared by Arrest,2019-08-18,Central
Simple Assault,Cleared by Arrest,2020-02-12,North
Simple Assault,Cleared by Arrest,2020-09-22,Freedom
Simple Assault,Open,2024-08-04,Metro
Simple Assault,Exceptionally Cleared,2022-01-31,South
Simple Assault,Open,2019-12-17,Eastway
Simple Assault,Exceptionally Cleared,2019-07-26,Westover
Simple Assault,Cleared by Arrest,2024-11-12,Westover
Simple Assault,Exceptionally Cleared,2019-01-14,Metro
Simple Assault,Exceptionally Cleared,2020-10-25,Central
Simple Assault,Open,2020-02-26,Freedom
Simple Assault,Exceptionally Cleared,2019-09-01,Independence
Simple Assault,Exceptionally Cleared,2023-03-30,North
Simple Assault,Open,2017-11-17,North
Simple Assault,Cleared by Arrest by Another Agency,2017-08-27,Hickory Grove
Intimidation,Open,2019-06-05,Westover
Intimidation,Cleared by Arrest,2020-11-07,Freedom
Simple Assault,Cleared by Arrest,2018-07-20,Central
Simple Assault,Open,2020-12-16,Hickory Grove
Simple Assault,Unfounded,2023-02-17,Providence
Simple Assault,Open,2018-01-26,Eastway
Intimidation,Open,2022-07-28,North
Simple Assault,Exceptionally Cleared,2022-03-03,Independence
Simple Assault,Cleared by Arrest,2021-02-06,Central
Simple Assault,Cleared by Arrest,2017-07-17,Metro
Intimidation,Open,2018-05-31,Metro
Simple Assault,Cleared by Arrest,2021-12-30,Hickory Grove
Intimidation,Open,2017-06-13,Central
Intimidation,Cleared by Arrest,2020-01-05,Hickory Grove
Intimidation,Open,2021-03-26,Freedom
Simple Assault,Exceptionally Cleared,2022-09-22,North
Simple Assault,Exceptionally Cleared,2022-06-02,Steele Creek
Intimidation,Exceptionally Cleared,2023-07-29,Providence
Simple Assault,Cleared by Arrest,2024-06-01,Central
Simple Assault,Cleared by Arrest,2022-02-17,Freedom
Intimidation,Cleared by Arrest,2017-03-26,Metro
Simple Assault,Cleared by Arrest,2022-12-05,University City
Simple Assault,Exceptionally Cleared,2018-10-06,Eastway
Simple Assault,Exceptionally Cleared,2019-03-02,North
Simple Assault,Cleared by Arrest,2017-07-30,Steele Creek
Simple Assault,Exceptionally Cleared,2017-03-16,South
Simple Assault,Open,2020-07-27,Hickory Grove
Simple Assault,Exceptionally Cleared,2022-04-15,Providence
Simple Assault,Cleared by Arrest,2017-06-19,North
Simple Assault,Cleared by Arrest,2023-12-04,North
Intimidation,Open,2024-07-03,Central
Simple Assault,Open,2022-01-28,Freedom
Simple Assault,Exceptionally Cleared,2024-03-09,University City
Simple Assault,Cleared by Arrest,2024-09-10,North
Simple Assault,Exceptionally Cleared,2017-05-02,North Tryon
Simple Assault,Open,2022-07-12,North
Simple Assault,Exceptionally Cleared,2019-04-29,Steele Creek
Simple Assault,Cleared by Arrest,2020-10-12,Hickory Grove
Simple Assault,Open,2019-02-22,Airport
Simple Assault,Open,2019-07-15,Hickory Grove
Simple Assault,Cleared by Arrest,2020-03-20,Metro
Simple Assault,Cleared by Arrest,2018-08-07,Hickory Grove
Simple Assault,Cleared by Arrest,2018-04-21,North Tryon
Simple Assault,Cleared by Arrest,2018-09-01,Hickory Grove
Simple Assault,Cleared by Arrest,2017-04-05,Metro
Intimidation,Unfounded,2021-09-05,Providence
Intimidation,Exceptionally Cleared,2017-09-28,Westover
Simple Assault,Open,2024-07-01,Freedom
Intimidation,Open,2020-06-17,North
Simple Assault,Open,2018-01-05,North
Simple Assault,Cleared by Arrest,2022-12-04,Westover
Simple Assault,Open,2021-12-02,University City
Simple Assault,Cleared by Arrest,2023-05-12,Westover
Intimidation,Exceptionally Cleared,2019-01-02,Providence
Intimidation,Open,2022-08-29,Central
Simple Assault,Exceptionally Cleared,2023-11-14,Providence
Simple Assault,Open,2018-01-06,Freedom
Simple Assault,Cleared by Arrest,2018-12-17,Hickory Grove
Intimidation,Exceptionally Cleared,2020-10-08,Steele Creek
Simple Assault,Open,2019-09-11,Providence
Simple Assault,Open,2019-01-19,Independence
Simple Assault,Open,2024-06-12,Westover
Intimidation,Open,2022-11-26,Steele Creek
Simple Assault,Cleared by Arrest,2021-08-29,Metro
Simple Assault,Exceptionally Cleared,2018-10-07,Freedom
Intimidation,Open,2017-01-17,Providence
Simple Assault,Cleared by Arrest,2024-07-05,North Tryon
Simple Assault,Exceptionally Cleared,2017-04-20,North Tryon
Simple Assault,Open,2023-11-16,Freedom
Intimidation,Open,2021-01-07,Hickory Grove
Intimidation,Cleared by Arrest by Another Agency,2022-07-28,Providence
Simple Assault,Open,2017-04-17,Metro
Simple Assault,Open,2024-05-26,Metro
Simple Assault,Cleared by Arrest,2021-03-13,Freedom
Intimidation,Open,2023-12-14,North
Intimidation,Open,2017-09-24,Metro
Intimidation,Exceptionally Cleared,2024-01-04,South
Simple Assault,Exceptionally Cleared,2017-10-26,South
Simple Assault,Open,2024-05-25,University City
Simple Assault,Cleared by Arrest,2017-08-23,North
Simple Assault,Cleared by Arrest,2021-11-15,Hickory Grove
Simple Assault,Cleared by Arrest,2019-06-14,Freedom
Simple Assault,Cleared by Arrest,2017-05-11,Independence
Simple Assault,Cleared by Arrest,2018-04-12,Eastway
Intimidation,Open,2022-10-24,Steele Creek
Intimidation,Cleared by Arrest,2019-06-15,Steele Creek
Simple Assault,Cleared by Arrest,2017-04-04,Steele Creek
Simple Assault,Cleared by Arrest,2019-06-29,Steele Creek
Intimidation,Open,2024-05-18,Independence
Simple Assault,Open,2022-09-03,Independence
Simple Assault,Cleared by Arrest,2024-11-01,North
Simple Assault,Open,2023-11-14,Independence
Simple Assault,Open,2018-05-20,North
Simple Assault,Cleared by Arrest,2017-09-30,Freedom
Intimidation,Open,2021-08-15,Freedom
Simple Assault,Exceptionally Cleared,2023-06-11,Providence
Intimidation,Open,2019-11-29,Freedom
Simple Assault,Cleared by Arrest,2020-09-10,North
Simple Assault,Open,2024-03-03,Steele Creek
Simple Assault,Exceptionally Cleared,2017-07-13,Central
Intimidation,Open,2017-04-17,Westover
Simple Assault,Open,2019-11-05,University City
Simple Assault,Open,2022-06-22,Eastway
Simple Assault,Cleared by Arrest,2018-07-29,Hickory Grove
Simple Assault,Exceptionally Cleared,2024-04-19,South
Simple Assault,Cleared by Arrest,2017-09-02,Steele Creek
Simple Assault,Open,2024-10-26,Central
Simple Assault,Exceptionally Cleared,2017-03-07,Metro
Simple Assault,Open,2024-11-04,Eastway
Simple Assault,Open,2021-04-22,Freedom
Simple Assault,Cleared by Arrest,2021-02-05,Hickory Grove
Simple Assault,Open,2023-07-17,South
Intimidation,Cleared by Arrest by Another Agency,2024-10-15,Eastway
Intimidation,Exceptionally Cleared,2018-12-01,Providence
Intimidation,Cleared by Arrest,2017-11-05,Freedom
Intimidation,Exceptionally Cleared,2021-07-21,Hickory Grove
Simple Assault,Cleared by Arrest,2024-05-25,Hickory Grove
Simple Assault,Exceptionally Cleared,2017-09-09,Steele Creek
Simple Assault,Open,2020-06-03,University City
Intimidation,Exceptionally Cleared,2020-05-28,Providence
Simple Assault,Cleared by Arrest,2024-11-09,Independence
Intimidation,Exceptionally Cleared,2022-03-04,North
Simple Assault,Cleared by Arrest,2020-04-07,North
Simple Assault,Cleared by Arrest,2022-07-12,Metro
Simple Assault,Exceptionally Cleared,2018-01-14,Steele Creek
Simple Assault,Exceptionally Cleared,2024-06-25,Steele Creek
Intimidation,Open,2019-08-26,University City
Intimidation,Cleared by Arrest,2017-12-16,North Tryon
Simple Assault,Exceptionally Cleared,2019-08-14,South
Intimidation,Exceptionally Cleared,2021-06-24,South
Intimidation,Cleared by Arrest,2017-10-02,Westover
Simple Assault,Cleared by Arrest,2024-06-27,Central
Simple Assault,Open,2017-01-15,Eastway
Intimidation,Open,2024-10-01,North Tryon
Simple Assault,Exceptionally Cleared,2018-02-26,Steele Creek
Simple Assault,Exceptionally Cleared,2020-12-13,Providence
Simple Assault,Open,2022-09-21,Steele Creek
Simple Assault,Open,2020-11-18,Westover
Simple Assault,Open,2017-01-17,North
Simple Assault,Cleared by Arrest,2020-08-11,North Tryon
Simple Assault,Open,2021-10-24,Westover
Simple Assault,Exceptionally Cleared,2023-04-16,North
Intimidation,Open,2020-01-13,University City
Intimidation,Exceptionally Cleared,2019-08-11,Independence
Intimidation,Exceptionally Cleared,2023-05-08,Hickory Grove
Simple Assault,Exceptionally Cleared,2018-04-17,Steele Creek
Intimidation,Exceptionally Cleared,2018-09-09,Steele Creek
Intimidation,Open,2019-12-22,University City
Intimidation,Open,2022-12-10,University City
Simple Assault,Exceptionally Cleared,2021-10-27,Independence
Intimidation,Open,2020-11-25,North Tryon
Intimidation,Open,2017-11-01,North
Simple Assault,Open,2021-01-31,North Tryon
Intimidation,Open,2020-07-07,University City
Intimidation,Exceptionally Cleared,2023-11-27,South
Simple Assault,Exceptionally Cleared,2022-01-17,Independence
Simple Assault,Open,2019-10-18,Eastway
Simple Assault,Exceptionally Cleared,2019-01-27,Hickory Grove
Simple Assault,Open,2024-01-06,University City
Simple Assault,Open,2018-09-27,Freedom
Simple Assault,Cleared by Arrest,2018-12-19,South
Simple Assault,Cleared by Arrest,2022-01-24,Steele Creek
Intimidation,Open,2024-06-19,North
Simple Assault,Open,2020-09-11,Westover
Simple Assault,Exceptionally Cleared,2019-02-16,Metro
Simple Assault,Open,2023-08-06,North Tryon
Simple Assault,Open,2017-02-08,Independence
Simple Assault,Exceptionally Cleared,2019-01-30,North Tryon
Simple Assault,Open,2021-10-19,Central
Intimidation,Exceptionally Cleared,2021-04-12,Independence
Intimidation,Open,2024-07-21,University City
Simple Assault,Open,2023-11-28,University City
Simple Assault,Exceptionally Cleared,2019-04-15,Independence
Simple Assault,Open,2023-09-24,Westover
Simple Assault,Open,2017-11-05,Central
Simple Assault,Cleared by Arrest,2017-04-01,Freedom
Simple Assault,Cleared by Arrest,2022-08-07,Freedom
Intimidation,Cleared by Arrest,2023-01-16,Steele Creek
Simple Assault,Cleared by Arrest,2019-04-03,Metro
Simple Assault,Cleared by Arrest,2021-01-29,Westover
Simple Assault,Exceptionally Cleared,2018-03-07,University City
Simple Assault,Open,2023-09-30,Steele Creek
Simple Assault,Open,2020-05-21,Steele Creek
Simple Assault,Cleared by Arrest,2022-03-16,Hickory Grove
Simple Assault,Cleared by Arrest,2021-09-21,Central
Simple Assault,Cleared by Arrest,2024-01-26,Independence
Intimidation,Open,2022-06-14,North
Simple Assault,Cleared by Arrest,2021-06-20,Metro
Simple Assault,Exceptionally Cleared,2017-02-05,North Tryon
Intimidation,Unfounded,2022-11-26,Freedom
Simple Assault,Open,2017-12-27,Hickory Grove
Simple Assault,Open,2020-04-20,Independence
Intimidation,Open,2023-06-15,Providence
Simple Assault,Exceptionally Cleared,2022-06-13,North Tryon
Simple Assault,Open,2021-12-23,Westover
Simple Assault,Exceptionally Cleared,2024-05-13,Hickory Grove
Simple Assault,Unfounded,2021-12-29,Steele Creek
Simple Assault,Open,2019-12-19,Eastway
Simple Assault,Exceptionally Cleared,2021-03-28,North
Simple Assault,Open,2017-06-06,Metro
Intimidation,Exceptionally Cleared,2023-02-04,Steele Creek
Simple Assault,Open,2024-04-22,Metro
Simple Assault,Open,2018-08-17,University City
Simple Assault,Exceptionally Cleared,2020-05-24,University City
Simple Assault,Cleared by Arrest,2019-11-14,Hickory Grove
Simple Assault,Cleared by Arrest,2023-12-13,Steele Creek
Simple Assault,Open,2018-01-10,North
Simple Assault,Cleared by Arrest,2021-01-17,Hickory Grove
Simple Assault,Exceptionally Cleared,2021-12-02,Steele Creek
Simple Assault,Exceptionally Cleared,2019-10-04,Metro
Simple Assault,Open,2017-01-17,Metro
Simple Assault,Cleared by Arrest,2020-02-11,Central
Simple Assault,Cleared by Arrest,2023-02-03,Providence
Intimidation,Exceptionally Cleared,2024-04-09,Hickory Grove
Simple Assault,Open,2019-07-09,Westover
Simple Assault,Exceptionally Cleared,2020-03-02,North
Intimidation,Cleared by Arrest,2020-07-19,Steele Creek
Simple Assault,Open,2022-07-30,Westover
Simple Assault,Exceptionally Cleared,2020-01-02,Metro
Intimidation,Open,2023-06-26,Eastway
Intimidation,Cleared by Arrest,2021-01-27,University City
Simple Assault,Cleared by Arrest,2019-02-11,Freedom
Simple Assault,Exceptionally Cleared,2017-08-18,North Tryon
Simple Assault,Open,2023-05-10,North
Simple Assault,Cleared by Arrest,2017-05-21,Hickory Grove
Simple Assault,Unfounded,2019-05-16,Freedom
Simple Assault,Open,2019-11-21,Westover
Simple Assault,Open,2017-08-11,Providence
Simple Assault,Open,2021-06-07,Central
Intimidation,Exceptionally Cleared,2018-12-07,Hickory Grove
Simple Assault,Open,2021-06-21,Airport
Intimidation,Unfounded,2019-07-03,Steele Creek
Simple Assault,Open,2019-02-25,North Tryon
Simple Assault,Open,2018-12-25,Metro
Simple Assault,Exceptionally Cleared,2017-10-10,Steele Creek
Simple Assault,Open,2024-11-12,University City
Simple Assault,Open,2023-04-27,Steele Creek
Simple Assault,Cleared by Arrest,2017-01-02,Central
Intimidation,Open,2023-03-29,Freedom
Intimidation,Open,2021-02-26,University City
Simple Assault,Cleared by Arrest,2023-11-23,Eastway
Simple Assault,Exceptionally Cleared,2019-09-06,Metro
Simple Assault,Exceptionally Cleared,2019-03-07,North Tryon
Simple Assault,Open,2018-07-22,Hickory Grove
Intimidation,Exceptionally Cleared,2018-09-27,Steele Creek
Simple Assault,Open,2022-07-15,South
Simple Assault,Cleared by Arrest,2021-10-07,North
Simple Assault,Cleared by Arrest,2018-06-01,Freedom
Simple Assault,Exceptionally Cleared,2023-03-18,North
Intimidation,Open,2021-06-18,Westover
Simple Assault,Unfounded,2019-11-15,Steele Creek
Intimidation,Exceptionally Cleared,2017-12-11,Freedom
Intimidation,Exceptionally Cleared,2020-08-29,Westover
Simple Assault,Cleared by Arrest,2018-06-28,South
Simple Assault,Cleared by Arrest,2019-11-18,Hickory Grove
Simple Assault,Open,2017-03-19,University City
Intimidation,Exceptionally Cleared,2019-05-25,Metro
Simple Assault,Exceptionally Cleared,2020-03-07,Steele Creek
Intimidation,Cleared by Arrest,2022-02-15,North Tryon
Simple Assault,Exceptionally Cleared,2021-02-05,University City
Simple Assault,Exceptionally Cleared,2022-04-04,Independence
Simple Assault,Cleared by Arrest,2024-05-20,University City
Simple Assault,Open,2022-11-23,University City
Simple Assault,Cleared by Arrest,2020-02-25,Eastway
Simple Assault,Cleared by Arrest,2024-05-30,Westover
Simple Assault,Open,2020-02-03,Hickory Grove
Simple Assault,Cleared by Arrest,2022-04-11,Metro
Intimidation,Cleared by Arrest,2021-09-17,Eastway
Simple Assault,Unfounded,2022-05-31,Steele Creek
Simple Assault,Open,2018-12-01,South
Simple Assault,Open,2017-06-25,University City
Simple Assault,Exceptionally Cleared,2019-03-09,Steele Creek
Simple Assault,Open,2017-12-13,Independence
Simple Assault,Cleared by Arrest,2024-04-06,Freedom
Simple Assault,Open,2020-06-14,North Tryon
Simple Assault,Open,2022-02-23,Central
Simple Assault,Cleared by Arrest,2023-08-04,Independence
Intimidation,Open,2022-10-14,University City
Simple Assault,Cleared by Arrest,2023-04-19,North Tryon
Simple Assault,Exceptionally Cleared,2018-09-03,Hickory Grove
Simple Assault,Cleared by Arrest,2019-10-26,Freedom
Simple Assault,Exceptionally Cleared,2020-07-21,Hickory Grove
Simple Assault,Open,2017-02-03,Providence
